2019-07-01T16:48:43.682215{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1876, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:49:44.860712{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1870, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:50:44.281168{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1868, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:52:43.871425{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1881, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:54:43.718216{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1882, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:55:43.892629{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1901, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:56:44.292635{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1884, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:57:44.390174{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1899, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:58:44.293222{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1897, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:59:43.969141{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1877, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:00:44.459547{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1883, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:01:43.993566{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1884, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:02:44.489485{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1859, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:03:44.285816{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1870, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:04:44.145295{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1882, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:05:44.312024{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1868, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:06:44.061300{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1859, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:07:44.152855{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1722, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:08:44.281595{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1553, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:09:44.286938{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1399, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:10:44.293804{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1335, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:11:44.308555{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1310, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:12:44.281371{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1277, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:13:44.293815{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1265, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:14:44.131777{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1265, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:15:44.020502{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1265, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:16:44.007732{'id': '34736710432', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] Oliech : nouvelles cartes + arène chill !', 'viewer_count': 1265, 'started_at': datetime.datetime(2019, 7, 1, 5, 12, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
