2019-07-01T15:47:44.315725{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3601, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.201449{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3661, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.243914{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3718, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.234627{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3623, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.229440{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3596, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.081604{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3779, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.695355{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3652, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.274638{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3688, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:43.937997{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3742, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.242956{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3603, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
