2019-07-01T15:45:44.501975{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3718, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:46:44.294840{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3624, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:47:44.317662{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3715, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:48:44.209366{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3755, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:49:44.237020{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3874, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:50:44.244888{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3855, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:51:44.220783{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3865, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:52:44.048749{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3932, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:53:44.518704{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3890, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:54:44.274698{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3829, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
