2019-07-01T15:45:44.468988{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4406, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.295497{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4486, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.344250{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4487, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.170011{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4584, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.201998{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4444, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.215451{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4332, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.178040{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4300, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.026439{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4283, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.830907{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4235, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.246924{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4265, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
