2019-07-01T15:45:44.510346{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4304, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.545729{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4312, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.339035{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4392, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.185915{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4392, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.202049{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4505, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.234765{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4497, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.203503{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4523, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.053331{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4556, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.226967{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4423, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.274720{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4452, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:43.929235{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4492, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.215873{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4491, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:44.235576{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4534, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:44.224235{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4574, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:43.915763{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4623, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.259568{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4612, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc']}
2019-07-01T16:02:44.231158{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4690, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:44.248625{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4673, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:44.225784{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4582, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:44.214503{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4606, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:44.226628{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4559, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
