2019-07-01T16:01:44.239391{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2428, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:03:43.957343{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2482, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:05:43.914023{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2473, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:07:43.927205{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2441, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:09:43.976443{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2501, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:11:43.709104{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2532, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:13:43.777809{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2398, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:14:43.870725{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2360, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:16:42.646477{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2276, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:18:43.117659{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2319, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
