2019-07-01T15:45:44.469016{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4177, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:46:44.299536{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4149, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:47:44.319026{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4177, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:48:44.160932{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4170, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:49:44.214564{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4076, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:50:44.185595{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 4025, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:51:44.189310{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3915, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:52:44.030914{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3890, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:53:44.850130{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3904, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:54:44.197507{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3795, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
