2019-07-01T16:33:44.290160{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2368, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:34:44.080815{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2386, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:36:43.888639{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2316, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:37:44.248387{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2285, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:39:43.903627{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2331, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:40:44.233962{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2413, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:41:44.249756{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2261, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:42:44.243609{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2225, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:43:45.024879{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2220, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:44:44.271298{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2203, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:45:44.223824{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2281, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
