2019-07-01T16:30:44.310820{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2960, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:31:44.327165{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2968, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:32:44.866033{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2991, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:33:44.308314{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2967, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:34:44.112935{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2971, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:36:43.870634{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2957, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:37:44.276722{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 2978, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:39:43.883972{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3045, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:43:45.030382{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3061, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:45:43.972927{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3068, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:47:43.922526{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3118, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:49:44.867135{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3072, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:50:44.275473{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3079, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:52:43.839285{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3129, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:54:43.736040{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3090, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:55:43.820965{'id': '34740584352', 'user_id': '72980942', 'user_name': 'PokerStaples', 'game_id': '488190', 'community_ids': ['0b9d06f9-fe5f-4f69-a4c3-2a9ee5604fb7', '848d95be-90b3-44a5-b143-6e373754c382', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Final Table $320 Gladiator!', 'viewer_count': 3126, 'started_at': datetime.datetime(2019, 7, 1, 15, 49, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pokerstaples-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'cea7bc0c-75a5-4446-8743-6db031b71550', 'b13ce7d5-d513-49ff-a957-76f193df42aa', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
