2019-07-01T15:45:44.515544{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2864, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.567563{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2909, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.335728{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2864, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.221371{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2824, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.248141{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2783, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.271104{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2792, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524']}
2019-07-01T15:51:44.251962{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2728, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.097762{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3007, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.701149{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3010, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.298396{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2965, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
