2019-07-01T15:45:44.609151{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3785, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:46:44.524761{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3805, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:47:44.334288{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3817, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:48:44.221458{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3925, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:49:44.251968{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3899, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:50:44.247664{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3938, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:51:44.235200{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 3988, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:52:44.078492{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4037, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:53:44.555169{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4163, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:54:44.274811{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4462, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:55:43.938041{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4542, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:56:44.257783{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4730, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:57:44.260712{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4704, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:58:44.248648{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4760, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
