2019-07-01T15:50:44.304776{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2264, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.301077{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2225, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.155577{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2226, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.315400{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2273, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.303667{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2261, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:43.997793{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2330, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:43.884101{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2384, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:43.876601{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2515, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:43.910952{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2635, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:43.952290{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2645, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.913747{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2318, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:44.358694{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2238, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:43.918567{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2237, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:43.717421{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2107, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.752457{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2083, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.101182{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2083, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.893966{'id': '34743465664', 'user_id': '48526626', 'user_name': 'quackityhq', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'MINECRAFT MONDAYS 2 [im going to defeat james charles]', 'viewer_count': 2083, 'started_at': datetime.datetime(2019, 7, 1, 20, 1, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_quackityhq-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
