2019-07-01T15:46:44.294529{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4130, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.333697{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4210, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.185727{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4269, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.209736{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4342, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.215436{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4256, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.217856{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4398, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.048807{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4429, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.532908{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4440, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.275579{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4398, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:43.897302{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4284, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.209378{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4369, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:44.240516{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4471, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:44.216886{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4569, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:44.331736{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4615, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:44.223007{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4625, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.259413{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4635, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:02:44.198726{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4764, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:44.242726{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4888, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:44.193937{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 5134, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:44.204033{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 5132, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:44.220745{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4582, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:44.217631{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4452, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:44.233080{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4476, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:44.223700{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4609, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:44.059077{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4609, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.071222{'id': '34743616832', 'user_id': '101725379', 'user_name': 'LazarBeamTwitch', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': 'playing minecraft with pewdiepie and james charles', 'viewer_count': 4609, 'started_at': datetime.datetime(2019, 7, 1, 20, 13, 58), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lazarbeamtwitch-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
