2019-07-01T15:49:44.581136{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2112, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:43.886775{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2151, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'c38aeb6e-e8c7-452a-88e1-a3ed62c2e846']}
2019-07-01T15:52:43.747475{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2153, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.533264{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2173, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.352603{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2181, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:42.581416{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2222, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:43.893428{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2295, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:43.998962{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2192, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:43.909223{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2114, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:43.953378{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2141, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
