2019-07-01T16:27:44.335743{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2633, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:31:44.615951{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2658, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:32:44.871787{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2652, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:33:44.322438{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2707, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:35:43.652462{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2722, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:36:43.907637{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2683, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:38:43.884516{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2687, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:40:43.932551{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2677, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:41:44.378242{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2728, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:42:44.340604{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2712, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:43:45.037063{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2692, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:45:43.924477{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2707, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:47:43.893634{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2796, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:49:44.857485{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2716, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:50:44.310205{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2786, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:52:43.889192{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2681, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:54:43.712164{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2739, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:58:43.618779{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2743, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:01:44.239033{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2842, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:02:44.326949{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2833, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:03:44.309814{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2742, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:04:44.171374{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2846, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
