2019-07-01T15:59:43.868131{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2378, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.070100{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2363, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:43.966444{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2379, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.928113{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2301, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:43.932347{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2280, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:43.927382{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2300, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.768964{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2310, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.072183{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2303, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.876075{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2331, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'd0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c']}
2019-07-01T16:16:42.663052{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2324, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:18:43.125477{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2311, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.147263{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2295, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:42.864280{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2276, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:43.402556{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2218, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:43.699862{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2233, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
