2019-07-01T16:03:44.214106{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3651, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:44.183009{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3651, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:44.207078{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3655, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:44.205852{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3623, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:44.210420{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3635, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:44.247960{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3668, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:44.228727{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3665, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:44.063115{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3720, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.017613{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3733, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:13:44.207337{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3761, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:15:43.539544{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3780, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:15:43.890413{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3780, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:43.429401{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3794, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:18:43.433661{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3811, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:19:43.745728{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3811, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.438102{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3866, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:43.442097{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3902, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:22:43.817239{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3904, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:44.190122{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3929, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:25:42.733058{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 3970, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:26:43.839199{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 4031, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
