2019-07-01T16:07:43.941340{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2612, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:09:43.979544{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2566, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:11:43.752519{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2566, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:12:44.076155{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2567, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:14:43.885129{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2573, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:16:42.657103{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2542, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:18:43.149285{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2573, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:20:43.144306{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2617, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:21:42.777395{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2642, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:23:43.474804{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2616, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:24:43.743069{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2558, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:26:43.776102{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2541, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:26:44.601170{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2541, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:27:44.326099{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2535, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:28:44.347199{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2495, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:29:43.970551{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2471, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:30:44.323530{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2456, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:31:44.496323{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2437, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:34:45.371348{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2418, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:36:43.913223{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2448, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
