2019-07-01T16:00:44.288498{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3356, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.329836{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3032, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:02:44.302519{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3055, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:44.272765{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3043, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.898572{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3035, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:44.331874{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3035, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:43.904836{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3156, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:43.665952{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3255, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.672864{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3311, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.073404{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3315, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
