2019-07-01T16:31:44.416862{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2408, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:32:44.862758{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2346, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:33:44.395625{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2322, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:35:43.646525{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2242, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:36:43.907484{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2241, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:38:44.030131{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2291, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:40:43.938911{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2301, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:41:44.388666{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2323, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:43:45.102235{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2483, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:44:44.335877{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2327, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
