2019-07-01T15:45:44.521880{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3921, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.274047{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3913, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.338827{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3906, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.201784{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3906, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.243811{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3873, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.215464{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3879, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.224821{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3880, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.048697{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3872, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.539504{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3883, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.274667{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3901, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:43.908522{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3949, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.217076{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3932, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:44.235227{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3926, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:44.209488{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3934, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:45.033442{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3933, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:44.193851{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3916, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:44.214471{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3881, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
