2019-07-01T16:18:42.562221{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2167, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.158568{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2148, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:22:43.341151{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2154, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '0cb7e377-a308-44e8-91f7-07eea1d96129']}
2019-07-01T16:39:44.248759{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2192, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:43:45.034420{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2225, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:44:44.347802{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2227, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:46:43.863683{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2222, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:47:43.714219{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2208, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:48:43.737092{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2192, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:49:44.856939{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2198, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
