2019-07-01T15:59:43.949834{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2056, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:43.908757{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2069, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:43.952289{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2124, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.899019{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2102, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:43.894054{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2060, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:43.927027{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2048, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:43.975377{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2056, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.803874{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2039, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:13:43.802714{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2064, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.903945{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2064, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
