2019-07-01T16:49:44.837992{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1927, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:50:44.322253{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1928, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:52:43.891545{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1913, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:54:43.746752{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1881, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:56:44.466647{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1880, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:57:44.333815{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1875, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:01:44.244345{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1858, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:04:44.430445{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1848, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:05:44.506966{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1848, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:06:44.065778{'id': '34742756976', 'user_id': '24476451', 'user_name': 'JoltzDude139', 'game_id': '32345', 'community_ids': [], 'type': 'live', 'title': 'Building The Ultimate Maya | Day #11 | #Sponsored', 'viewer_count': 1848, 'started_at': datetime.datetime(2019, 7, 1, 19, 2, 36), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_joltzdude139-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
