2019-07-01T16:11:43.666885{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2768, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:12:44.071219{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2716, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:14:43.839816{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2641, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:16:43.518831{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2628, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:17:43.510957{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2599, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:19:43.045865{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2602, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:21:43.067973{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2627, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:23:43.399143{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2613, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:24:43.674389{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2595, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:25:43.905392{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2598, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:26:44.436349{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2592, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
