2019-07-01T16:25:44.040434{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1472, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:26:44.483627{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1751, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:27:44.367441{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1345, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:28:44.391154{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1124, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:29:44.032889{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1085, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:30:44.417031{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1089, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['2a14b52e-d459-4c92-be11-5d86b898f6b6', '1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:31:44.399462{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1100, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:32:44.846625{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1110, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:33:44.389454{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1125, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:35:43.647359{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1177, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
