2019-07-01T16:33:44.305601{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2570, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:34:44.326449{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2558, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:36:44.175982{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2505, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:38:43.817549{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2527, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:39:43.889336{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2500, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:43:45.022474{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2469, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:44:44.315016{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2467, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:45:44.291805{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2485, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:47:43.837623{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2505, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:49:44.888435{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2530, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
