2019-07-01T16:21:42.562194{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2202, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:23:43.489086{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2138, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:24:43.761124{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2123, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:25:43.868690{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2131, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:26:44.410741{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2150, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:27:44.310081{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2209, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:28:44.508357{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2208, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:29:44.158100{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2252, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:30:44.319795{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2240, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:31:44.330583{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2233, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:32:44.853371{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2218, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:33:44.311569{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2240, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:34:44.163037{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2250, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:36:43.912903{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2275, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
