2019-07-01T16:09:43.939658{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2640, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.758350{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2647, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.143455{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2670, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.885204{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2611, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:16:42.634021{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2618, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:18:43.125354{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2554, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.158216{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2591, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:42.564967{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2641, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:43.490018{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2472, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:43.710649{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2409, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
