2019-07-01T15:45:44.518466{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2777, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:46:44.445052{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2775, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:47:44.334200{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2767, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:48:44.243709{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2807, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:49:44.278321{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2773, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:50:44.308409{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2709, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:51:44.267694{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2701, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:52:44.104284{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2751, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:53:44.578477{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2783, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:54:44.279146{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2833, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
