2019-07-01T15:46:44.306485{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4206, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:47:44.315831{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4239, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:48:44.202902{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4256, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:49:44.243832{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4266, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:50:44.227823{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4291, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:51:44.229584{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4325, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:52:44.087204{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 4354, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:53:44.693139{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3978, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:54:44.280213{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3660, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:55:43.943700{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3493, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:56:44.247122{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3463, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:57:44.254352{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3460, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:58:44.237091{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3491, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:59:44.246561{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3445, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:00:44.226067{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3459, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:01:44.244592{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3525, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:02:44.235520{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3526, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:03:44.224239{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3554, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:04:44.203782{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3606, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:05:44.232129{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3584, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
