2019-07-01T15:52:44.014571{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4403, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.824902{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4442, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.196872{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5421, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:43.892457{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5282, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.184338{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5309, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:43.901535{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5289, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:44.194006{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5311, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:44.182665{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5241, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.218464{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5291, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:45.080740{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5409, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:13:44.205149{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5457, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:44.186252{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5533, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:15:43.863267{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5542, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:43.413591{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5551, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:18:43.428563{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5427, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:19:43.716184{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5211, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.407893{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4851, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:43.419152{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4803, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:22:43.752264{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4780, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:44.188641{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4787, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:44.031518{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4823, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
