2019-07-01T15:49:44.303055{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2357, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.311817{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2311, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.342127{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2234, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.130410{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2203, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.752437{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2101, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.292132{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2074, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:44.007084{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2052, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.318630{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2047, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:43.920923{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2067, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:43.887231{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2068, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:02:44.128970{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2038, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:44.277332{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2029, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.945116{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2048, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:44.331934{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2048, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:43.896514{'id': '34744468000', 'user_id': '59580613', 'user_name': 'Jenna', 'game_id': '509658', 'community_ids': ['08d7ee6d-1692-42a9-82ab-b5fce62af696', '6ca8305b-3bf8-4118-94cc-f84893d9456c', 'b3c96ff6-f161-446f-9d59-7ec271da09e8'], 'type': 'live', 'title': 'Canada Day Beach Stream  / IG: Jennatwitch', 'viewer_count': 2048, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jenna-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
