2019-07-01T16:06:43.880527{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2583, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:43.904972{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2601, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:43.665967{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2266, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.675703{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2252, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.072723{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 2157, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.934270{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 1761, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:16:43.526244{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 1640, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:43.513663{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 1548, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:19:43.037440{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 1506, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:43.074376{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 1414, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:43.416517{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 1384, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:43.683752{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 1384, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:25:44.105496{'id': '34743337552', 'user_id': '112837021', 'user_name': 'UMGEvents', 'game_id': '27471', 'community_ids': ['4203fe60-1a97-441a-9e5b-9952a31e22b0', '558ffafb-6f75-44ff-8cb7-a4f045d2399f', 'e460229e-2100-4c42-894c-d758651f06c6'], 'type': 'live', 'title': 'Minecraft Monday Week 2', 'viewer_count': 1384, 'started_at': datetime.datetime(2019, 7, 1, 19, 50, 52), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_umgevents-{width}x{height}.jpg', 'tag_ids': ['b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
