2019-07-01T15:47:44.333984{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4101, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:48:44.177928{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3937, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:49:44.237122{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3946, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T15:59:44.640785{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3937, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:00:44.193910{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3965, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:01:44.239392{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3990, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:02:44.189971{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4021, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:03:44.219060{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4028, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:04:44.145150{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3950, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:05:44.185976{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3971, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:06:44.182523{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 4001, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:07:44.189757{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3889, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:08:44.163730{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3913, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:09:44.173509{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3913, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:10:44.019387{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3886, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:12:44.017211{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3770, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:13:44.205136{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3772, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:15:43.545969{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3720, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:15:43.887292{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3720, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:17:43.406887{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3690, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:18:43.428378{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3734, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:19:43.735300{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3723, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:22:43.201904{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3710, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:22:44.454186{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3710, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
