2019-07-01T15:47:44.339092{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2931, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.224361{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2891, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.267314{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2880, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.263055{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2842, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.255710{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2831, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.112876{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2809, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.585399{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2846, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.275501{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2810, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:55:43.960414{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2804, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.297621{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2839, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
