2019-07-01T15:47:44.480064{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2736, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:48:44.284245{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2793, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:50:43.896768{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2616, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:51:44.299440{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2570, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:52:44.142185{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2601, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:53:44.318131{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2576, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:54:44.358255{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2630, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:55:43.993370{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2586, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:57:43.899069{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2655, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T15:59:43.866882{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2587, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
