2019-07-01T16:09:43.955593{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2030, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.758342{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2025, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:13:43.804482{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 1991, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.900875{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2020, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:16:43.622487{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2036, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:18:43.139245{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2068, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.167279{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2069, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:42.599117{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2075, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:43.493671{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2087, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:43.787903{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2111, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
