2019-07-01T16:03:44.200447{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4515, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:04:44.175327{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4538, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:05:44.203932{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4512, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:06:44.199584{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4497, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:07:44.204916{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4504, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:08:44.196422{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4480, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:09:44.249953{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4495, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:10:44.046227{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4481, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:12:44.038139{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4477, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:13:44.216004{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4426, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:15:43.621875{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4426, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
