2019-07-01T15:45:44.459982{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4204, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:46:44.528746{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3678, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:47:44.341198{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3619, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:48:44.181518{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3672, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:49:44.212098{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3708, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:50:44.215636{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3716, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:51:44.220651{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3771, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:52:44.034103{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3775, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:53:44.209712{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3862, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:54:44.197419{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3984, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:55:43.896385{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3947, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:56:44.205148{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3907, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:57:44.212822{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3902, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:58:44.205847{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3917, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T15:59:44.214202{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3959, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
