2019-07-01T15:45:44.520163{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3074, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:46:44.299324{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3095, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:47:44.344317{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3111, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:48:44.206159{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3109, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:49:44.248463{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3154, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:50:44.263244{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3160, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:51:44.242948{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3176, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:52:44.087184{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3188, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:53:44.555201{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3198, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:54:44.274771{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3213, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
