2019-05-31T10:08:16.796281{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4449, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:09:16.825980{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4462, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:10:16.916089{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4474, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:11:16.846747{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4529, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:12:16.645557{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4561, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:13:16.522192{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4607, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:14:16.657223{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4308, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:15:16.838665{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4106, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:16:16.810993{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 4023, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:17:16.874589{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3945, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
