2019-07-02T11:58:06.007782{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20917, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:59:06.251131{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20758, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:00:06.265562{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20874, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:01:06.010981{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20763, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:02:06.328753{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20943, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:03:05.946400{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20821, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:04:06.305689{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20734, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:05:06.239515{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20670, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:06:06.348067{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20715, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:07:06.362946{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20708, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:08:06.317626{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20556, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:09:06.250463{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20310, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
