2019-07-02T11:58:06.070012{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 14389, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:59:06.255710{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 14763, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:00:06.266568{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15080, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:01:06.010712{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15202, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:02:06.333559{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15552, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:03:06.091317{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15346, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:04:06.311182{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15422, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:05:06.254225{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15641, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:06:06.162022{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15813, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:07:06.355707{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15865, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
