2019-07-02T11:53:06.024240{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 42122, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:53:15.475393{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 42122, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:54:05.937868{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37606, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:54:15.468003{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37606, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:55:05.993002{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35690, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:55:15.496453{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35040, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:56:06.346688{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35040, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:56:15.800641{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35040, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:57:06.265297{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 34892, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:57:15.773823{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35106, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:58:06.063079{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 34866, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:58:15.447342{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 34859, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:59:06.245869{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 34831, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T11:59:15.772995{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 34831, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:00:06.266384{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35039, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:00:15.798284{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35039, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:01:06.004659{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35203, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:01:15.473152{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35561, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:02:06.328819{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35450, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:02:15.877769{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35201, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:03:05.963387{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35290, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:03:15.485367{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35260, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:04:06.313053{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35323, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:04:15.761984{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35323, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:05:06.244979{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35906, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:05:15.763453{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 35906, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:06:06.311853{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 36102, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:06:15.612018{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 36102, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:07:06.327495{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 36203, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:07:15.812688{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 36203, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:08:06.320519{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 36957, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:08:15.772421{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 36957, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:09:06.259373{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37045, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:09:15.798658{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37045, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:10:06.259713{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37089, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:10:15.767578{'id': '34751757824', 'user_id': '19571641', 'user_name': 'Ninja', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Drum Shotgun is very good :D', 'viewer_count': 37165, 'started_at': datetime.datetime(2019, 7, 2, 13, 46, 50), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ninja-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
