2019-07-02T12:00:06.266417{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2469, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:01:06.032266{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2440, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:02:06.319363{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2462, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:03:05.954182{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2459, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:04:06.311273{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2429, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:05:06.257453{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2299, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:06:06.199796{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2277, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:07:06.340398{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2292, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:08:06.352023{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2321, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:09:06.263362{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2309, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
