2019-05-31T10:08:18.110460{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 770, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:09:18.155543{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 775, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:10:18.116049{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 770, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:11:18.116417{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 756, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:12:17.957195{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 756, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:13:17.833363{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 755, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:14:17.980542{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 768, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:15:18.109857{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 763, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:16:18.175855{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 763, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:17:18.115908{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 765, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:18:18.016876{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 753, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:19:18.123420{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 760, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:20:17.987873{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 763, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:21:17.838955{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 773, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:22:17.879377{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 775, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:23:18.182669{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 772, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:24:18.159445{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 766, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
