2019-05-31T10:02:34.047194{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 53840, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:03:34.275436{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 53856, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:04:34.074600{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 53866, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:05:33.928937{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 54265, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:06:34.207928{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 54085, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:07:33.868069{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 53938, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:08:34.051458{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 54244, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:09:33.855152{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 54509, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:10:34.191773{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 54373, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:11:34.226652{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 53890, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
